Representative,Date,Stars,Text,Platform
Evin Lopez,2025-06-04,5,"Anthony Cabrera
5 reviews · 2 photos






13 hours ago
NEW
Evin Lopez brought real solutions to the table when we felt stuck financially. He made the process easy, clear, and made us feel super comfortable! Thank you!

Like

Share",Google
Evin Lopez,2025-06-04,5,"Juan Carvajal
6 reviews






14 hours ago
NEW
Really appreciate Evin Lopez.  He made that process smooth.  Thank you

Like

Share",Google
Evin Lopez,2025-06-04,5,"Luana Palma
2 reviews






14 hours ago
NEW
Evin Lopez truly cares about helping small businesses

Like

Share",Google
Evin Lopez,2025-06-04,5,"Kimberly Sanchez
1 review






14 hours ago
NEW
Because of Evin Lopez, we accessed capital right when we needed it the most.

Like

Share",Google
Evin Lopez,2025-06-04,5,"Adrianna Pereira
6 reviews






14 hours ago
NEW
Evin Lopez walked me step by step through the funding process. Couldn’t be happier. Thanks again!

Like

Share",Google
Evin Lopez,2025-06-04,5,"Wendy Graham
1 review






14 hours ago
NEW
""It's clear that Evin Lopez truly cares about helping small businesses succeed.""

Like

Share",Google
Evin Lopez,2025-06-04,5,"Jose Sanchez
1 review






15 hours ago
NEW
Evin Lopez explained every option clearly and made sure we understood the process, we were able to access capital when we needed it the most! Thank you!

Like

Share",Google
Clyde Wethers,2025-06-04,5,"Shabab Alam
6 reviews






15 hours ago
NEW
Started a PMF 5 days, sitting next to clyde wethers has helped me grow and adapt to the new environment i am currently ! Thank you

Like

Share",Google
Evin Lopez,2025-06-04,5,"Tola Sim






15 hours ago
NEW
Worked with Evin Lopez and Jonathan Carreno. Have been working with them for a while, and excited to get something done!

Like

Share",Google
Evin Lopez,2025-06-04,5,"Crystal Salvador
2 reviews






15 hours ago
NEW
Evin Lopez helped our business secure funding fast and with zero stress- highly recommended! If you’re looking for reliable financial support, talk to him you won’t regret it!

Like

Share",Google
David Adi,2025-06-04,5,"Smith James






20 hours ago
NEW
I’ve worked with other funding companies before, but Premium Merchant Funding stands out. David Adi genuinely cares about helping businesses grow. Fast approval, flexible terms, and zero pressure.

Like

Share",Google
David Adi,2025-06-04,5,"Gary David






21 hours ago
NEW
I was skeptical at first, but David Adi  quickly earned my trust with his clear communication and follow-through. I got the funding I needed in record time. Highly recommended!

Like

Share",Google
David Adi,2025-06-04,5,"Alex Walker






21 hours ago
NEW
David Adi is a true professional. He took the time to understand my business and offered the best funding options available. Premium Merchant Funding exceeded my expectations in both service and speed. 10/10!

Like

Share",Google
David Adi,2025-06-04,5,"James Williams






21 hours ago
NEW
David Adi and the team at Premium Merchant Funding were phenomenal! The process was fast, transparent, and tailored exactly to my business needs. I felt supported every step of the way. Highly recommend!

Like

Share",Google
Jop Abalos,2025-06-02,5,"John Hosek
4 reviews






3 days ago
NEW
Been working with “Adam” or Jop Abalos he’s been fantastic to work with…. and made working together easy… highly recommend him.

Like

Share",Google
Taier Levy,2025-06-01,5,"oreen david
2 reviews






4 days ago
NEW
Can’t say enough good things! Worked with Taier Levy highly recommend

Like

Share",Google
David Adi,2025-05-31,5,"Maya Galapo
1 review






5 days ago
NEW
5 stars!
David Adi was the only one out of five companies who was truly available at all times and made sure I got the loan I needed. … More

Like

Share",Google
Taier Levy,2025-05-31,5,"michelle Rabinovich
8 reviews · 3 photos






5 days ago
NEW
I worked with Taier Levy she was always quick to respond and really took the time to explain everything clearly. Super grateful for her help

Like

Share",Google
Taier Levy,2025-05-30,5,"Penguin Power Clean
1 review






6 days ago
NEW
We worked with Taier Levy, she was super helpful and treated us good, she sounds professional and caring. I would definitely recommend her to my relatives and friends

Like

Share",Google
Jessica Btesh,2025-05-30,5,"Noah Massil
3 reviews






6 days ago
NEW
Jessica Btesh worked with my wife to learn our business, anticipated what we’d need next, and she helped us build toward real growth. We trust her and that means everything in deals like these.

Like

Share",Google
Jeremy Chiprin,2025-05-30,5,"neil harrington
Local Guide · 53 reviews






6 days ago
NEW
Jeremy Chiprin provided exceptional service while assisting me with my merchant cash advance, demonstrating patience and clarity throughout the process. His extensive knowledge of the industry helped me understand my options and make an … More

Like

Share",Google
Jeremy Chiprin,2025-05-30,5,"Sam Pearman
4 reviews






6 days ago
NEW
I’m a small business owner. Talked to Jeremy Chiprin. He was so helpful that I had to come on here and give a 5-star review. Thank you to Jeremy for making my experience so amazing

Like

Share",Google
Jeremy Chiprin,2025-05-30,5,"Gavin Pogson
2 reviews






6 days ago
NEW
Jeremy Chiprin was very helpful and kind

Like

Share",Google
